Ref,Val,Package,PosX,PosY,Rot,Side
"U4","BH-21700-B1BJ001","BAT-SMD_L82.5.5-W25-BH-21700-B1BJ001",42.900000,-67.650000,90.000000,bottom
"C1","10u","C_0603_1608Metric",48.150000,-100.950000,-90.000000,top
"C2","1u","C_0603_1608Metric",45.875000,-101.700000,0.000000,top
"C3","1uF/16V","C_0603_1608Metric",49.650000,-100.950000,-90.000000,top
"C4","10uF/16V","C_0603_1608Metric",41.515000,-82.860000,180.000000,top
"C5","47nF","C_0603_1608Metric",43.760000,-79.750000,-90.000000,top
"C6","4,7uF","C_0603_1608Metric",41.505000,-79.840000,0.000000,top
"C7","10uF","C_0603_1608Metric",54.945000,-88.797500,-90.000000,top
"C8","10uF","C_0603_1608Metric",51.925000,-88.797500,-90.000000,top
"C9","10uF","C_0603_1608Metric",48.660000,-89.670000,90.000000,top
"C10","0,1uF","C_0603_1608Metric",59.210000,-83.095000,-90.000000,top
"C11","1u","C_0603_1608Metric",53.435000,-88.797500,-90.000000,top
"C12","1u","C_0603_1608Metric",42.880000,-100.940000,0.000000,top
"C13","10uF","C_0603_1608Metric",42.880000,-93.310000,180.000000,top
"C14","100nF","C_0603_1608Metric",42.880000,-94.810000,180.000000,top
"C15","100nF","C_0603_1608Metric",42.880000,-96.310000,180.000000,top
"C16","1uF","C_0603_1608Metric",50.320000,-111.015000,90.000000,top
"C17","100nF","C_0603_1608Metric",59.530000,-74.700000,180.000000,top
"C18","10uF","C_0603_1608Metric",59.555000,-61.700000,0.000000,top
"C19","100nF","C_0603_1608Metric",28.425000,-50.090000,180.000000,top
"C20","100nF","C_0603_1608Metric",32.500000,-50.090000,180.000000,top
"C21","100nF","C_0603_1608Metric",53.663235,-29.400000,0.000000,top
"C22","100nF","C_0603_1608Metric",36.575000,-55.390000,180.000000,top
"C23","10uF","C_0603_1608Metric",36.575000,-50.090000,0.000000,top
"C24","1uF/25V","C_0603_1608Metric",22.730000,-28.965000,90.000000,top
"C25","1uF","C_0603_1608Metric",38.730000,-32.005000,90.000000,top
"C26","1uF","C_0603_1608Metric",40.220000,-32.005000,-90.000000,top
"C27","1uF","C_0603_1608Metric",33.570000,-24.230000,90.000000,top
"C28","4,7uF/25V","C_0603_1608Metric",44.425000,-25.030000,0.000000,top
"C29","4,7uF","C_0603_1608Metric",32.070000,-24.230000,-90.000000,top
"C30","1uF/25V","C_0603_1608Metric",41.720000,-32.005000,-90.000000,top
"C31","1uF/25V","C_0603_1608Metric",46.970000,-28.225000,90.000000,top
"C32","1uF/25V","C_0603_1608Metric",34.055000,-35.050000,0.000000,top
"C33","1uF/25V","C_0603_1608Metric",43.200000,-32.005000,90.000000,top
"C34","100nF","C_0603_1608Metric",42.880000,-97.910000,0.000000,top
"C35","100nF","C_0603_1608Metric",42.880000,-99.410000,0.000000,top
"C36","1uF/25V","C_0603_1608Metric",47.850000,-32.005000,90.000000,top
"D1","MBR0530","SOD-123_L2.8-W1.8-LS3.7-RD",24.435000,-31.560000,0.000000,top
"D2","MBR0530","SOD-123_L2.8-W1.8-LS3.7-RD",48.500000,-25.030000,180.000000,top
"D3","MBR0530","SOD-123_L2.8-W1.8-LS3.7-RD",45.210000,-28.230000,-90.000000,top
"FPC1","AFC01-S24FCA-00","FPC-SMD_24P-P0.50_AFC01-S24FCA-00",42.990000,-38.430000,0.000000,top
"L1","1.5uH","IND-SMD_L5.0-W5.0_SWPA5040S",53.350000,-93.000000,0.000000,top
"L2","47uH","IND-SMD_L5.8-W5.2",28.170000,-25.790000,90.000000,top
"Q1","FS8205A_C908265","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",51.360000,-83.820000,180.000000,top
"Q2","SI1308EDL-T1-GE3","SOT-323_L2.0-W1.3-P1.30-LS2.1-BR",28.215000,-34.250000,-90.000000,top
"R1","6.8k","R_0603_1608Metric",55.125000,-103.200000,0.000000,top
"R2","250","R_0603_1608Metric",45.100000,-89.675000,-90.000000,top
"R3","10k","R_0603_1608Metric",41.510000,-81.350000,180.000000,top
"R4","10k","R_0603_1608Metric",46.620000,-89.675000,-90.000000,top
"R5","330","R_0603_1608Metric",59.950000,-85.380000,0.000000,top
"R6","10K","R_0603_1608Metric",29.150000,-110.065000,-90.000000,top
"R7","10k","R_0603_1608Metric",36.690000,-110.045000,90.000000,top
"R8","4.7k","R_0603_1608Metric",30.680000,-110.065000,90.000000,top
"R9","4.7k","R_0603_1608Metric",32.200000,-110.060000,90.000000,top
"R10","1M","R_0603_1608Metric",25.380000,-35.030000,180.000000,top
"R11","2,2","R_0603_1608Metric",31.045000,-35.050000,0.000000,top
"R12","330","R_0603_1608Metric",58.245000,-88.600000,0.000000,top
"R13","1k","R_0402_1005Metric",57.000000,-86.250000,180.000000,top
"R14","10k","R_0603_1608Metric",30.680000,-87.075000,-90.000000,top
"SW1","SW_Push","SW-SMD_2P-TS24CA",50.302500,-78.000050,90.000000,top
"SW2","SW_Push","SW-SMD_2P-TS24CA",54.997500,-77.999950,-90.000000,top
"U1","CH224K","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP",46.350000,-105.050000,-90.000000,top
"U2","BQ25895RTWR","QFN-24_L4.0-W4.0-P0.50-TL-EP2.7",45.160000,-85.720000,0.000000,top
"U3","DW01A_C351410","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",56.510000,-83.870000,-90.000000,top
"U5","XC6222A331MR-G","SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BR",46.775000,-94.010000,0.000000,top
"U6","ESP32-C3-WROOM-02-N4","BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB",33.680000,-98.570000,90.000000,top
"U7","MAX17048G+T10","TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2",52.370000,-111.060000,180.000000,top
"U8","SCD40-D-R1","LGA-20_L10.1-W10.1-P1.25-TL",57.630000,-68.200000,180.000000,top
"U9","SHT41-AD1B-R2","DFN-4_L1.5-W1.5-SHT41-AD1B-R2",28.500000,-52.362500,90.000000,top
"U10","T117Z","TDFN-6_L2.0-W2.0-P0.65-TL-EP",32.500000,-52.412500,180.000000,top
"U11","BH1750FVI-TR","WSOF-6_L2.6-W1.6-P0.50-TL-EP",53.633235,-27.450000,0.000000,top
"U12","SGP41-D-R4","DFN-6_L2.4-W2.4-P0.80-TL-EP",36.600000,-52.740000,90.000000,top
"U13","SK6812MINI-HS","LED-SMD_4P-L3.5-W3.5-BR_SK6812MINI-HS",61.600000,-90.050000,90.000000,top
"U14","SK6812MINI-HS","LED-SMD_4P-L3.5-W3.5-BR_SK6812MINI-HS",61.600000,-105.950000,90.000000,top
"U15","USBLC6-2SC6","SOT-23-6",56.012500,-97.750000,180.000000,top
"USB1","TYPE-C-2.0-16PIN-SMT-3","TYPE-C-SMD_TYPE-CF3.1",61.415000,-98.000000,90.000000,top
